127.0.0.1 - - [13/Jan/2022:09:35:14 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [13/Jan/2022:09:42:36 +0900] "GET /day02/cascadingTest.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jan/2022:09:42:36 +0900] "GET /day02/cacadingCss.css HTTP/1.1" 404 832
0:0:0:0:0:0:0:1 - - [13/Jan/2022:09:42:36 +0900] "GET /day02/cascadingTest.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jan/2022:09:42:36 +0900] "GET /day02/cacadingCss.css HTTP/1.1" 404 832
0:0:0:0:0:0:0:1 - - [13/Jan/2022:09:42:36 +0900] "GET /day02/cascadingTest.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jan/2022:09:42:36 +0900] "GET /day02/cacadingCss.css HTTP/1.1" 404 832
0:0:0:0:0:0:0:1 - - [13/Jan/2022:09:42:36 +0900] "GET /day02/cascadingTest.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jan/2022:09:42:36 +0900] "GET /day02/cacadingCss.css HTTP/1.1" 404 832
0:0:0:0:0:0:0:1 - - [13/Jan/2022:09:42:37 +0900] "GET /day02/cascadingTest.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jan/2022:09:42:37 +0900] "GET /day02/cacadingCss.css HTTP/1.1" 404 832
0:0:0:0:0:0:0:1 - - [13/Jan/2022:09:42:37 +0900] "GET /day02/cascadingTest.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jan/2022:09:42:37 +0900] "GET /day02/cacadingCss.css HTTP/1.1" 404 832
0:0:0:0:0:0:0:1 - - [13/Jan/2022:09:42:43 +0900] "GET /day02/cascadingTest.html HTTP/1.1" 200 667
0:0:0:0:0:0:0:1 - - [13/Jan/2022:09:42:43 +0900] "GET /day02/cacadingCss.css HTTP/1.1" 404 832
0:0:0:0:0:0:0:1 - - [13/Jan/2022:09:42:43 +0900] "GET /day02/cascadingTest.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jan/2022:09:42:43 +0900] "GET /day02/cacadingCss.css HTTP/1.1" 404 832
0:0:0:0:0:0:0:1 - - [13/Jan/2022:09:42:43 +0900] "GET /day02/cascadingTest.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jan/2022:09:42:43 +0900] "GET /day02/cacadingCss.css HTTP/1.1" 404 832
0:0:0:0:0:0:0:1 - - [13/Jan/2022:09:42:44 +0900] "GET /day02/cacadingCss.css HTTP/1.1" 404 832
0:0:0:0:0:0:0:1 - - [13/Jan/2022:09:43:09 +0900] "GET /day02/cascadingTest.html HTTP/1.1" 200 668
0:0:0:0:0:0:0:1 - - [13/Jan/2022:09:43:09 +0900] "GET /day02/cascadingCss.css HTTP/1.1" 200 49
0:0:0:0:0:0:0:1 - - [13/Jan/2022:09:43:11 +0900] "GET /day02/cascadingCss.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jan/2022:09:43:33 +0900] "GET /day02/cascadingTest.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jan/2022:09:43:33 +0900] "GET /day02/cascadingCss.css HTTP/1.1" 200 100
0:0:0:0:0:0:0:1 - - [13/Jan/2022:09:44:22 +0900] "GET /day02/cascadingTest.html HTTP/1.1" 200 679
0:0:0:0:0:0:0:1 - - [13/Jan/2022:09:44:22 +0900] "GET /day02/cascadingCss.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jan/2022:09:48:36 +0900] "GET /day02/cssInheritance.html HTTP/1.1" 200 421
0:0:0:0:0:0:0:1 - - [13/Jan/2022:09:48:50 +0900] "GET /day02/cssInheritance.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jan/2022:09:48:50 +0900] "GET /day02/cssInheritance.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jan/2022:09:48:50 +0900] "GET /day02/cssInheritance.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jan/2022:09:48:51 +0900] "GET /day02/cssInheritance.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jan/2022:09:48:51 +0900] "GET /day02/cssInheritance.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jan/2022:09:48:52 +0900] "GET /day02/cssInheritance.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jan/2022:09:48:52 +0900] "GET /day02/cssInheritance.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jan/2022:09:48:52 +0900] "GET /day02/cssInheritance.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jan/2022:09:48:53 +0900] "GET /day02/cssInheritance.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jan/2022:09:48:53 +0900] "GET /day02/cssInheritance.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jan/2022:09:48:53 +0900] "GET /day02/cssInheritance.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jan/2022:09:48:53 +0900] "GET /day02/cssInheritance.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jan/2022:09:48:53 +0900] "GET /day02/cssInheritance.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jan/2022:09:48:53 +0900] "GET /day02/cssInheritance.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jan/2022:09:48:53 +0900] "GET /day02/cssInheritance.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jan/2022:09:48:54 +0900] "GET /day02/cssInheritance.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jan/2022:09:48:54 +0900] "GET /day02/cssInheritance.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jan/2022:09:48:54 +0900] "GET /day02/cssInheritance.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jan/2022:09:48:54 +0900] "GET /day02/cssInheritance.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jan/2022:09:48:54 +0900] "GET /day02/cssInheritance.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jan/2022:09:48:54 +0900] "GET /day02/cssInheritance.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jan/2022:09:48:55 +0900] "GET /day02/cssInheritance.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jan/2022:09:48:55 +0900] "GET /day02/cssInheritance.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jan/2022:09:48:55 +0900] "GET /day02/cssInheritance.html HTTP/1.1" 200 422
0:0:0:0:0:0:0:1 - - [13/Jan/2022:09:48:57 +0900] "GET /day02/cssInheritance.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jan/2022:09:49:30 +0900] "GET /day02/cssInheritance.html HTTP/1.1" 200 429
0:0:0:0:0:0:0:1 - - [13/Jan/2022:09:51:01 +0900] "GET /day02/cssInheritance.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jan/2022:09:51:01 +0900] "GET /day02/cssInheritance.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jan/2022:09:51:01 +0900] "GET /day02/cssInheritance.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jan/2022:09:51:01 +0900] "GET /day02/cssInheritance.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jan/2022:09:51:02 +0900] "GET /day02/cssInheritance.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jan/2022:09:51:02 +0900] "GET /day02/cssInheritance.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jan/2022:09:51:02 +0900] "GET /day02/cssInheritance.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jan/2022:09:51:02 +0900] "GET /day02/cssInheritance.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jan/2022:09:51:02 +0900] "GET /day02/cssInheritance.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jan/2022:09:51:04 +0900] "GET /day02/cssInheritance.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jan/2022:09:51:04 +0900] "GET /day02/cssInheritance.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jan/2022:09:51:05 +0900] "GET /day02/cssInheritance.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jan/2022:09:51:05 +0900] "GET /day02/cssInheritance.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jan/2022:09:51:05 +0900] "GET /day02/cssInheritance.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jan/2022:09:51:05 +0900] "GET /day02/cssInheritance.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jan/2022:09:51:05 +0900] "GET /day02/cssInheritance.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jan/2022:09:51:05 +0900] "GET /day02/cssInheritance.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jan/2022:09:51:05 +0900] "GET /day02/cssInheritance.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jan/2022:09:51:10 +0900] "GET /day02/cssInheritance.html HTTP/1.1" 200 465
0:0:0:0:0:0:0:1 - - [13/Jan/2022:09:51:10 +0900] "GET /day02/cssInheritance.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jan/2022:09:51:10 +0900] "GET /day02/cssInheritance.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jan/2022:09:51:10 +0900] "GET /day02/cssInheritance.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jan/2022:09:51:41 +0900] "GET /day02/cssInheritance.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jan/2022:09:51:41 +0900] "GET /day02/cssInheritance.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jan/2022:09:51:50 +0900] "GET /day02/cssInheritance.html HTTP/1.1" 200 469
0:0:0:0:0:0:0:1 - - [13/Jan/2022:09:51:50 +0900] "GET /day02/cssInheritance.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jan/2022:09:51:50 +0900] "GET /day02/cssInheritance.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jan/2022:09:51:50 +0900] "GET /day02/cssInheritance.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jan/2022:09:51:50 +0900] "GET /day02/cssInheritance.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jan/2022:09:51:50 +0900] "GET /day02/cssInheritance.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jan/2022:09:53:11 +0900] "GET /day02/cssInheritance.html HTTP/1.1" 200 501
0:0:0:0:0:0:0:1 - - [13/Jan/2022:09:53:11 +0900] "GET /day02/cssInheritance.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jan/2022:09:54:13 +0900] "GET /day02/cssInheritance.html HTTP/1.1" 200 501
0:0:0:0:0:0:0:1 - - [13/Jan/2022:09:54:29 +0900] "GET /day02/cssInheritance.html HTTP/1.1" 200 507
0:0:0:0:0:0:0:1 - - [13/Jan/2022:09:54:29 +0900] "GET /day02/cssInheritance.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jan/2022:09:54:29 +0900] "GET /day02/cssInheritance.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jan/2022:09:55:07 +0900] "GET /day02/cssInheritance.html HTTP/1.1" 200 513
0:0:0:0:0:0:0:1 - - [13/Jan/2022:09:55:08 +0900] "GET /day02/cssInheritance.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jan/2022:09:55:08 +0900] "GET /day02/cssInheritance.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jan/2022:09:55:08 +0900] "GET /day02/cssInheritance.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jan/2022:10:11:21 +0900] "GET /day02/cssInheritance.html HTTP/1.1" 200 744
0:0:0:0:0:0:0:1 - - [13/Jan/2022:10:16:02 +0900] "GET /day02/cssInheritance.html HTTP/1.1" 200 875
0:0:0:0:0:0:0:1 - - [13/Jan/2022:10:16:15 +0900] "GET /day02/cssInheritance.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jan/2022:10:16:15 +0900] "GET /day02/cssInheritance.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jan/2022:10:16:15 +0900] "GET /day02/cssInheritance.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jan/2022:10:16:16 +0900] "GET /day02/cssInheritance.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jan/2022:10:16:16 +0900] "GET /day02/cssInheritance.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jan/2022:10:16:17 +0900] "GET /day02/cssInheritance.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jan/2022:10:16:18 +0900] "GET /day02/cssInheritance.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jan/2022:10:16:18 +0900] "GET /day02/cssInheritance.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jan/2022:10:16:18 +0900] "GET /day02/cssInheritance.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jan/2022:10:16:19 +0900] "GET /day02/cssInheritance.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jan/2022:10:16:19 +0900] "GET /day02/cssInheritance.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jan/2022:10:16:19 +0900] "GET /day02/cssInheritance.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jan/2022:10:16:19 +0900] "GET /day02/cssInheritance.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jan/2022:10:16:19 +0900] "GET /day02/cssInheritance.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jan/2022:10:16:21 +0900] "GET /day02/cssInheritance.html HTTP/1.1" 200 908
0:0:0:0:0:0:0:1 - - [13/Jan/2022:10:16:21 +0900] "GET /day02/cssInheritance.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jan/2022:10:16:21 +0900] "GET /day02/cssInheritance.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jan/2022:10:20:37 +0900] "GET /day02/cssInheritance.html HTTP/1.1" 200 1082
0:0:0:0:0:0:0:1 - - [13/Jan/2022:10:21:19 +0900] "GET /day02/cssInheritance.html HTTP/1.1" 200 1124
0:0:0:0:0:0:0:1 - - [13/Jan/2022:10:23:45 +0900] "GET /day02/cssInheritance.html HTTP/1.1" 200 1145
0:0:0:0:0:0:0:1 - - [13/Jan/2022:10:36:16 +0900] "GET /day02/margin.html HTTP/1.1" 200 216
0:0:0:0:0:0:0:1 - - [13/Jan/2022:10:38:43 +0900] "GET /day02/margin.html HTTP/1.1" 200 342
0:0:0:0:0:0:0:1 - - [13/Jan/2022:10:40:14 +0900] "GET /day02/margin.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jan/2022:10:40:14 +0900] "GET /day02/margin.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jan/2022:10:40:14 +0900] "GET /day02/margin.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jan/2022:10:41:47 +0900] "GET /day02/margin.html HTTP/1.1" 200 497
0:0:0:0:0:0:0:1 - - [13/Jan/2022:10:43:25 +0900] "GET /day02/margin.html HTTP/1.1" 200 551
0:0:0:0:0:0:0:1 - - [13/Jan/2022:10:44:04 +0900] "GET /day02/margin.html HTTP/1.1" 200 551
0:0:0:0:0:0:0:1 - - [13/Jan/2022:10:44:05 +0900] "GET /day02/margin.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jan/2022:10:47:12 +0900] "GET /day02/margin.html HTTP/1.1" 200 749
0:0:0:0:0:0:0:1 - - [13/Jan/2022:10:47:24 +0900] "GET /day02/margin.html HTTP/1.1" 200 776
0:0:0:0:0:0:0:1 - - [13/Jan/2022:10:50:20 +0900] "GET /day02/margin.html HTTP/1.1" 200 916
0:0:0:0:0:0:0:1 - - [13/Jan/2022:10:52:25 +0900] "GET /day02/margin.html HTTP/1.1" 200 1071
0:0:0:0:0:0:0:1 - - [13/Jan/2022:11:03:24 +0900] "GET /day02/margin.html HTTP/1.1" 200 1391
